Time,UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%]
1670629739,0,1,-17,17,5.3,13,40,1,0.696,0,2.6,23,347,23,0
1670629740,0,1,-17,17,19,20,40,1,1.4,0,2.6,23,289,23,0
1670629741,0,1,-17,17,2.3,14,40,1,0.716,0,2.6,23,324,23,0
1670629742,0,1,-17,17,-5.2,11,40,1,0.444,0,2.6,23,361,23,0
1670629743,0,1,-17,17,1.8,11,40,1,0.449,0,2.6,23,385,23,0
1670629744,0,1,-17,17,17,17,40,1,1.1,0,2.6,23,284,23,0
1670629745,0,1,-17,17,25,18,40,1,1.2,0,2.6,23,234,23,0
1670629746,0,1,-17,17,2.8,11,40,1,0.458,0,2.6,23,195,23,0
1670629747,0,1,-17,17,13,11,40,1,0.449,0,2.6,23,218,22,0
1670629748,0,1,-17,17,6.6,11,40,1,0.441,0,2.6,23,228,23,0
1670629749,0,1,-17,17,3.9,11,40,1,0.445,0,2.6,23,233,23,0
1670629750,0,1,-17,17,7.2,11,40,1,0.438,0,2.6,23,229,23,0
1670629751,0,1,-17,17,-5.4,11,40,1,0.464,0,2.6,23,232,23,0
1670629752,0,1,-17,17,-1.4,11,40,1,0.453,0,2.6,23,236,23,0
1670629753,0,1,-17,17,3.7,11,40,1,0.447,0,2.6,23,245,23,0
1670629754,0,1,-17,17,0.474,11,40,1,0.449,0,2.6,23,270,23,0
1670629755,0,1,-17,17,2.2,11,40,1,0.443,0,2.6,23,304,23,0
1670629756,0,1,-17,17,-0.162,11,40,1,0.443,0,2.6,23,354,23,0
1670629757,0,1,-17,17,2.9,11,40,1,0.446,0,2.6,23,382,23,0
1670629758,0,1,-17,17,10,17,40,1,1,0,2.6,23,289,22,0
1670629759,0,1,-17,17,24,18,40,1,1.2,0,2.6,23,309,23,0
1670629760,0,1,-17,17,3.6,11,40,1,0.443,0,2.6,23,346,23,0
1670629761,0,1,-17,17,-3.2,11,40,1,0.451,0,2.6,23,384,23,0
1670629762,0,1,-17,17,12,12,40,1,0.561,0,2.6,23,367,23,0
1670629763,0,1,-17,17,27,20,40,1,1.4,0,2.6,23,277,23,0
1670629764,0,1,-17,17,16,15,40,1,0.8,0,2.6,23,283,23,0
1670629765,0,1,-17,17,3,11,40,1,0.448,0,2.6,23,311,23,0
1670629766,0,1,-17,17,8,11,40,1,0.451,0,2.6,23,330,23,0
1670629767,0,1,-17,17,0.884,11,40,1,0.448,0,2.6,23,338,23,0
1670629768,0,1,-17,17,9.4,11,40,1,0.451,0,2.6,23,343,23,0
1670629769,0,1,-17,17,12,11,40,1,0.45,0,2.6,23,344,23,0
1670629770,0,1,-17,17,3.8,11,40,1,0.435,0,2.6,23,346,23,0
1670629771,0,1,-17,17,7.6,11,40,1,0.446,0,2.6,23,353,23,0
1670629772,0,1,-17,17,1.1,11,40,1,0.437,0,2.6,23,366,23,0
1670629773,0,1,-17,17,3.4,11,40,1,0.444,0,2.6,23,382,23,0
1670629774,0,1,-17,17,11,14,40,1,0.703,0,2.6,23,338,23,0
1670629775,0,1,-17,17,12,20,40,1,1.4,0,2.6,23,282,22,0
1670629776,0,1,-17,17,1.7,12,40,1,0.549,0,2.6,23,310,23,0
1670629777,0,1,-17,17,5.3,11,40,1,0.443,0,2.6,23,349,23,0
1670629778,0,1,-17,17,2.7,11,40,1,0.446,0,2.6,23,379,23,0
1670629779,0,1,-17,17,-3.8,11,40,1,0.443,0,2.6,23,384,23,0
1670629780,0,1,-17,17,13,18,40,1,1.2,0,2.6,23,270,23,0
1670629781,0,1,-17,17,17,16,40,1,0.95,0,2.6,23,276,23,0
1670629782,0,1,-17,17,2.3,11,40,1,0.442,0,2.6,23,300,22,0
1670629783,0,1,-17,17,2,11,40,1,0.442,0,2.6,23,320,23,0
