Time,Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB]
1669916202,4,534,535,0,0,0,0.00141
1669916203,4,535,536,0,0,0,0.00141
1669916204,4,536,537,0,0,0,0.00141
1669916205,4,537,538,0,0,0,0.00141
1669916206,4,538,539,0,0,0,0.00141
1669916207,4,539,540,0,0,0,0.00141
1669916208,4,540,541,0,0,0,0.00141
1669916209,4,541,542,0,0,0,0.00141
1669916210,4,542,543,0,0,0,0.00141
1669916211,4,543,544,0,0,0,0.00141
1669916212,4,544,545,0,0,0,0.00141
1669916213,4,545,546,0,0,0,0.00141
1669916214,4,546,547,0,0,0,0.00141
1669916215,4,547,548,0,0,0,0.00141
1669916216,4,548,549,0,0,0,0.00141
1669916217,4,549,550,0,0,0,0.00141
1669916218,4,550,551,0,0,0,0.00141
1669916219,4,551,552,0,0,0,0.00141
1669916220,4,552,553,0,0,0,0.00141
1669916221,4,553,554,0,0,0,0.00141
1669916222,4,554,555,0,0,0,0.00141
1669916223,4,555,556,0,0,0,0.00141
1669916224,4,556,557,0,0,0,0.00141
1669916225,4,557,558,0,0,0,0.00141
1669916226,4,558,559,0,0,0,0.00141
1669916227,4,559,560,0,0,0,0.00141
1669916228,4,560,561,0,0,0,0.00141
1669916229,4,561,562,0,0,0,0.00141
1669916230,4,562,563,0,0,0,0.00141
1669916231,4,563,564,0,0,0,0.00141
1669916232,4,564,565,0,0,0,0.00141
1669916233,4,565,566,0,0,0,0.00141
1669916234,4,566,567,0,0,0,0.00141
1669916235,4,567,568,0,0,0,0.00141
1669916236,4,568,569,0,0,0,0.00141
1669916237,4,569,570,0,0,0,0.00141
1669916238,4,570,571,0,0,0,0.00141
1669916239,4,571,572,0,0,0,0.00141
1669916240,4,572,573,0,0,0,0.00141
1669916241,4,573,574,0,0,0,0.00141
1669916242,4,574,575,0,0,0,0.00141
1669916243,4,575,576,0,0,0,0.00141
1669916244,4,576,577,0,0,0,0.00141
1669916245,4,577,578,0,0,0,0.00141
1669916246,4,578,579,0,0,0,0.00141
1669916247,4,579,580,0,0,0,0.00141
1669916248,4,580,581,0,0,0,0.00141
1669916249,4,581,582,0,0,0,0.00141
1669916250,4,582,583,0,0,0,0.00141
1669916251,4,583,584,0,0,0,0.00141
