Time,Iperf Svr ID,Iperf Svr Interval Start [sec],Iperf Svr Interval End [sec],Iperf Svr Transfer [MB],Iperf Svr Bandwidth [Mbps]
1669916632,5,964,965,0.00283,0.0232
1669916633,5,965,966,0.00141,0.0116
1669916634,5,966,967,0.00141,0.0116
1669916635,5,967,968,0.00283,0.0232
1669916636,5,968,969,0.00141,0.0116
1669916637,5,969,970,0.00141,0.0116
1669916638,5,970,971,0.00424,0.0347
1669916639,5,971,972,0.00424,0.0348
1669916640,5,972,973,0,0
1669916641,5,973,974,0,0
1669916642,5,974,975,0,0
1669916643,5,975,976,0,0
1669916644,5,976,977,0,0
1669916645,5,977,978,0,0
1669916646,5,978,979,0,0
1669916647,5,979,980,0,0
1669916648,5,980,981,0,0
1669916649,5,981,982,0,0
1669916650,5,982,983,0,0
1669916651,5,983,984,0,0
1669916652,5,984,985,0,0
1669916653,5,985,986,0,0
1669916654,5,986,987,0,0
1669916655,5,987,988,0,0
1669916656,5,988,989,0,0
1669916657,5,989,990,0,0
1669916658,5,990,991,0,0
1669916659,5,991,992,0,0
1669916660,5,992,993,0,0
1669916661,5,993,994,0,0
1669916662,5,994,995,0,0
1669916663,5,995,996,0,0
1669916664,5,996,997,0,0
1669916665,5,997,998,0,0
